author_id,pages,weight,rating_value_0,rating_value_1,rating_count_0,rating_count_1,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_0_weight,genre_1_weight,genre_2_weight,genre_3_weight,genre_4_weight,genre_5_weight,genre_6_weight,genre_7_weight,genre_8_weight,genre_9_weight,price,bookformat_Comics,bookformat_Hardcover,bookformat_Kindle Edition,bookformat_Mass Market Paperback,bookformat_Paperback,bookformat_Spiral-bound,bookedition_First Edition,bookedition_Non first edition,bookedition_Unknown
1456,288.0,839.15,0.0,4.6,0,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
1051,249.0,839.15,4.11,4.6,18980,1,3,10,19,13,4,13,13,13,3,11,0.48,0.15,0.1,0.09,0.05,0.03,0.03,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
2386,324.0,3991.61,3.99,4.6,43657,1537,11,4,13,13,13,18,13,19,16,4,0.45,0.19,0.07,0.07,0.06,0.05,0.04,0.04,0.03,0.02,103658.0,0,0,0,0,1,0,0,0,1
2466,285.0,839.15,4.11,4.6,11206,1,4,18,11,13,17,13,13,13,12,13,0.29,0.17,0.17,0.12,0.07,0.04,0.04,0.03,0.03,0.03,,0,1,0,0,0,0,0,0,1
763,348.0,839.15,3.83,4.6,7983,1,12,9,0,8,13,13,13,13,12,13,0.28,0.17,0.16,0.13,0.11,0.04,0.04,0.03,0.03,0.01,,0,1,0,0,0,0,0,0,1
1015,704.0,839.15,3.9,4.6,37768,1,4,13,13,13,3,13,13,4,12,13,0.42,0.13,0.12,0.09,0.06,0.04,0.04,0.04,0.03,0.03,,0,1,0,0,0,0,0,0,1
2769,528.0,771.11,3.68,4.3,19382,1504,3,4,3,3,13,13,4,16,12,13,0.77,0.07,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.01,649665.0,0,1,0,0,0,0,0,0,1
265,291.0,839.15,3.51,4.6,72201,1,18,11,4,13,17,13,17,13,12,13,0.24,0.23,0.16,0.09,0.08,0.07,0.05,0.04,0.02,0.02,,0,1,0,0,0,0,0,0,1
215,397.0,839.15,4.31,4.6,19625,1,3,3,13,13,15,13,13,4,12,16,0.3,0.24,0.14,0.08,0.06,0.05,0.04,0.03,0.03,0.03,,0,1,0,0,0,0,0,0,1
2408,790.0,839.15,4.42,4.6,13008,1,17,12,13,13,13,13,13,13,6,13,0.31,0.26,0.23,0.08,0.05,0.02,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1865,42.0,839.15,3.97,4.6,2335,1,14,13,4,13,8,13,13,13,12,3,0.68,0.14,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,,0,1,0,0,0,0,0,1,0
2101,435.0,839.15,4.05,4.6,185962,1,3,19,4,16,13,13,3,13,12,13,0.61,0.09,0.08,0.06,0.05,0.03,0.02,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1317,480.0,839.15,4.46,4.6,18150,1,3,4,13,3,13,3,3,4,12,13,0.77,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,0,1,0,0,0,0,1,0,0
1051,295.0,839.15,3.95,4.6,64127,1,3,10,19,13,4,13,13,3,12,13,0.49,0.15,0.11,0.08,0.04,0.03,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1841,416.0,839.15,4.01,4.6,1433,1,12,8,9,13,0,13,13,13,12,13,0.52,0.2,0.07,0.07,0.05,0.02,0.02,0.02,0.01,0.01,,0,1,0,0,0,0,0,0,1
1870,352.0,839.15,4.0,4.6,37243,1,19,4,3,13,15,4,13,13,12,3,0.33,0.28,0.09,0.08,0.06,0.06,0.05,0.02,0.02,0.01,,0,0,1,0,0,0,0,0,1
260,336.0,839.15,3.79,4.6,70902,1,19,13,4,16,4,13,13,13,12,13,0.38,0.24,0.11,0.1,0.05,0.03,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
473,500.0,725.75,3.81,3.6,32,9,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,247883.0,0,0,0,0,1,0,0,0,1
2839,208.0,839.15,4.02,4.6,3608,1,12,8,13,13,13,13,13,13,9,13,0.36,0.18,0.11,0.08,0.07,0.05,0.05,0.04,0.03,0.02,,0,1,0,0,0,0,0,0,1
80,330.0,839.15,4.3,4.6,206,1,19,4,4,4,13,13,13,13,12,13,1.0,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
2629,400.0,839.15,4.26,4.6,8965,1,3,10,13,19,4,3,13,16,4,13,0.22,0.15,0.13,0.12,0.12,0.12,0.11,0.02,0.01,0.01,,0,0,0,0,1,0,0,0,1
1766,288.0,839.15,4.1,4.6,1583,1,13,12,13,13,2,13,13,17,12,13,0.3,0.26,0.17,0.13,0.05,0.04,0.02,0.02,0.01,0.01,,0,0,0,0,1,0,0,0,1
2883,304.0,544.31,3.8,4.3,1415,60,9,12,8,13,13,13,13,13,12,0,0.35,0.25,0.22,0.04,0.03,0.03,0.03,0.03,0.03,0.02,117806.0,0,1,0,0,0,0,0,0,1
441,535.0,680.39,4.25,4.7,454617,5533,3,19,16,13,3,13,13,4,12,13,0.34,0.24,0.09,0.09,0.06,0.05,0.04,0.04,0.03,0.03,122281.0,0,1,0,0,0,0,0,0,1
1554,368.0,839.15,3.97,4.6,4460,1,17,12,13,8,5,13,1,13,12,13,0.39,0.36,0.1,0.06,0.02,0.02,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1079,267.0,839.15,4.07,4.6,1618,1,2,13,12,13,13,13,13,13,12,13,0.63,0.16,0.11,0.05,0.02,0.01,0.01,0.03,0.02,0.02,,0,0,1,0,0,0,0,0,1
2638,44.0,839.15,4.37,4.6,4886,1,14,13,4,13,4,13,4,13,12,13,0.64,0.11,0.08,0.05,0.05,0.03,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
2937,213.0,839.15,3.62,4.6,11437,1,4,13,4,13,13,13,13,13,4,13,0.5,0.12,0.08,0.06,0.04,0.04,0.04,0.04,0.04,0.04,,0,1,0,0,0,0,0,0,1
1511,218.0,839.15,4.01,4.6,13870,1,10,7,3,11,4,13,13,19,12,13,0.29,0.27,0.14,0.06,0.06,0.04,0.04,0.04,0.03,0.02,,0,1,0,0,0,0,0,0,1
2507,466.0,771.11,3.77,4.1,65792,1623,3,19,13,4,4,13,3,16,12,13,0.44,0.14,0.09,0.08,0.07,0.06,0.04,0.03,0.03,0.02,122281.0,0,1,0,0,0,0,0,1,0
158,406.0,839.15,4.3,4.6,67478,1,4,16,13,4,13,3,15,13,12,4,0.36,0.16,0.13,0.11,0.08,0.05,0.04,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
2532,417.0,839.15,4.02,4.6,57306,1,19,13,16,4,4,13,13,13,12,13,0.34,0.2,0.19,0.07,0.06,0.03,0.03,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
401,112.0,839.15,4.32,4.8,4401,266,5,1,19,13,13,13,13,16,4,13,0.32,0.13,0.12,0.12,0.11,0.08,0.04,0.03,0.03,0.03,189847.0,0,0,0,0,1,0,0,0,1
1917,352.0,839.15,3.82,4.6,206357,1,11,4,18,18,13,13,13,13,12,18,0.22,0.22,0.19,0.08,0.08,0.07,0.05,0.04,0.03,0.03,,0,1,0,0,0,0,0,0,1
909,120.0,839.15,4.12,4.6,83132,1,5,1,19,13,13,4,13,3,12,4,0.32,0.31,0.08,0.05,0.05,0.05,0.05,0.04,0.03,0.02,,0,0,0,0,1,0,0,0,1
2403,400.0,839.15,4.12,4.6,58290,1,12,13,17,13,0,13,6,13,9,13,0.49,0.1,0.09,0.07,0.07,0.06,0.04,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
1826,204.0,839.15,0.0,4.6,0,1,12,4,4,4,13,13,13,13,12,13,1.0,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
2480,192.0,839.15,4.28,4.6,16083,1,9,12,13,13,13,13,0,13,12,13,0.31,0.29,0.12,0.06,0.06,0.05,0.03,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
1726,289.0,839.15,3.84,4.6,95963,1,16,4,13,13,13,13,4,16,12,4,0.31,0.27,0.11,0.09,0.08,0.05,0.04,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
2536,230.0,839.15,4.0,4.6,17985,1,9,12,0,13,13,13,13,13,12,13,0.4,0.37,0.06,0.04,0.04,0.03,0.02,0.02,0.01,0.01,,0,1,0,0,0,0,0,0,1
2463,437.0,839.15,4.14,4.6,3294,1,12,17,6,8,13,13,13,13,12,13,0.34,0.31,0.12,0.09,0.05,0.03,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1198,363.0,839.15,4.5,4.6,32,1,3,4,4,4,13,13,13,13,12,13,1.0,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,1,0,0,0,0,0,1
2425,372.0,839.15,4.09,4.6,17604,1,16,4,13,13,15,13,13,13,12,13,0.45,0.15,0.11,0.07,0.07,0.04,0.04,0.03,0.01,0.01,,0,0,0,0,1,0,0,0,1
591,226.0,839.15,3.69,4.6,32240,1,13,4,13,13,13,4,4,13,12,13,0.49,0.3,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1498,373.0,839.15,4.05,4.6,126246,1,4,13,13,13,4,18,4,13,12,13,0.38,0.23,0.08,0.07,0.07,0.04,0.04,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
6,321.0,839.15,4.22,4.6,18510,1,11,4,18,13,17,13,13,13,12,13,0.25,0.16,0.13,0.11,0.11,0.11,0.04,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
1451,354.0,839.15,4.42,4.6,18535,1,19,13,13,16,13,4,13,13,12,4,0.22,0.21,0.19,0.12,0.08,0.08,0.04,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1505,503.0,839.15,4.27,4.6,289698,1,4,4,13,13,13,13,13,13,12,13,0.5,0.19,0.08,0.06,0.05,0.04,0.02,0.02,0.02,0.02,,0,0,0,0,1,0,0,0,1
728,416.0,839.15,3.75,4.6,8103,1,4,4,13,4,4,13,13,13,12,13,0.45,0.18,0.13,0.05,0.04,0.03,0.03,0.03,0.03,0.03,,0,1,0,0,0,0,0,0,1
1133,452.0,839.15,0.0,4.6,0,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
2237,415.0,839.15,4.06,4.6,4373,1,11,4,18,18,4,13,13,13,12,4,0.31,0.18,0.16,0.12,0.05,0.04,0.04,0.04,0.02,0.02,,0,1,0,0,0,0,0,0,1
2735,421.0,839.15,4.38,4.6,154346,1,19,13,3,16,4,13,4,13,3,13,0.25,0.24,0.16,0.15,0.05,0.05,0.04,0.03,0.02,0.01,,0,0,1,0,0,0,0,0,1
1814,32.0,839.15,4.18,4.6,3683,1,14,13,13,13,13,8,13,4,12,13,0.45,0.1,0.09,0.09,0.09,0.09,0.03,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
501,517.0,566.99,4.48,4.8,44321,2547,3,10,4,13,18,13,13,13,12,13,0.44,0.15,0.06,0.06,0.06,0.06,0.05,0.04,0.03,0.03,225939.0,0,1,0,0,0,0,0,0,1
1828,40.0,839.15,4.54,4.6,4023,1,14,0,12,13,9,13,13,13,12,13,0.42,0.17,0.13,0.11,0.04,0.04,0.03,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
758,576.0,839.15,3.8,4.6,152364,1,16,13,13,4,13,13,15,16,12,13,0.37,0.14,0.11,0.1,0.07,0.07,0.05,0.04,0.03,0.02,,0,0,0,0,1,0,0,0,1
1064,330.0,1905.09,5.0,5.0,2,6,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,187537.0,0,0,0,0,1,0,0,0,1
2540,304.0,839.15,3.54,4.6,2560,1,2,13,13,12,13,13,13,13,12,13,0.6,0.15,0.11,0.08,0.02,0.02,0.01,0.01,0.02,0.02,,0,1,0,0,0,0,0,0,1
53,330.0,839.15,5.0,4.6,1,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
2324,522.0,839.15,4.21,4.6,232963,1,3,19,13,16,4,13,13,13,12,3,0.36,0.21,0.13,0.11,0.06,0.03,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
265,293.0,839.15,3.95,4.6,339720,1,18,4,11,13,17,18,13,13,12,4,0.27,0.19,0.14,0.09,0.08,0.06,0.05,0.04,0.04,0.03,,0,1,0,0,0,0,0,0,1
436,352.0,839.15,4.06,4.6,6771,1,12,9,0,13,13,13,13,13,12,16,0.56,0.11,0.09,0.06,0.05,0.03,0.03,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
1538,330.0,839.15,3.73,4.6,30,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,1,0,0,0,0,0,1
708,370.0,839.15,4.47,4.6,1236851,1,4,4,11,13,13,13,15,4,12,13,0.41,0.18,0.13,0.07,0.04,0.04,0.04,0.03,0.03,0.03,,0,1,0,0,0,0,0,0,1
826,640.0,839.15,3.67,4.6,7701,1,7,4,4,13,11,13,13,13,12,3,0.31,0.14,0.13,0.11,0.07,0.06,0.06,0.05,0.05,0.03,,0,1,0,0,0,0,0,0,1
1802,400.0,839.15,4.13,4.6,1626,1,12,0,17,6,13,13,13,13,12,13,0.27,0.24,0.12,0.11,0.1,0.05,0.04,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
284,103.0,839.15,5.0,4.6,2,1,12,4,4,4,13,13,13,13,12,13,0.39,0.2,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,0,1,0,0,0,0,0,1
1054,290.0,839.15,3.97,4.6,58155,1,12,17,9,0,13,13,13,13,12,13,0.33,0.23,0.2,0.07,0.05,0.04,0.03,0.02,0.02,0.01,,0,1,0,0,0,0,0,0,1
2311,320.0,512.56,3.91,4.4,156632,10581,4,13,13,13,4,13,4,13,12,13,0.57,0.11,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.03,349375.0,0,1,0,0,0,0,1,0,0
501,295.0,839.15,3.83,4.6,5393,1,19,13,13,4,4,13,13,13,12,13,0.37,0.19,0.14,0.11,0.06,0.04,0.03,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
1761,388.0,839.15,4.19,4.6,53155,1,4,4,13,13,13,4,13,13,12,13,0.57,0.2,0.06,0.06,0.03,0.02,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1755,390.0,462.66,4.12,4.7,31433,975,3,10,19,13,4,13,13,13,12,13,0.44,0.14,0.09,0.09,0.06,0.05,0.05,0.04,0.02,0.02,115640.0,0,1,0,0,0,0,0,0,1
1176,304.0,839.15,3.89,4.6,4591,1,19,13,4,4,13,13,13,13,12,13,0.35,0.3,0.08,0.07,0.04,0.04,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1684,296.0,839.15,4.29,4.6,15406,1,15,19,13,13,13,13,13,13,12,13,0.55,0.22,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1635,330.0,839.15,4.09,4.6,888,1,11,18,18,13,13,4,13,13,12,13,0.35,0.2,0.15,0.12,0.08,0.07,0.02,0.03,0.02,0.02,,0,0,0,0,1,0,0,0,1
1480,270.0,839.15,4.06,4.6,12190,1,3,13,13,16,18,16,13,13,12,13,0.21,0.19,0.16,0.12,0.07,0.06,0.05,0.05,0.05,0.04,,0,0,0,0,1,0,0,0,1
1046,757.0,839.15,4.4,4.6,23057,1,4,4,13,4,13,13,13,13,12,13,0.49,0.28,0.08,0.03,0.03,0.03,0.02,0.02,0.02,0.01,,0,1,0,0,0,0,1,0,0
2543,710.0,839.15,4.66,4.6,836,1,13,7,13,13,4,4,13,3,14,13,0.26,0.18,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.05,,0,0,0,0,1,0,0,0,1
912,417.0,839.15,3.62,4.6,41031,1,4,13,19,4,13,13,4,13,12,18,0.51,0.13,0.08,0.05,0.05,0.04,0.04,0.04,0.03,0.03,,0,1,0,0,0,0,0,0,1
682,574.0,839.15,4.03,4.6,11595,1,4,4,13,4,3,13,13,13,12,13,0.4,0.23,0.14,0.06,0.05,0.03,0.03,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
2139,350.0,839.15,4.0,4.6,2,1,13,4,4,4,13,13,13,13,12,13,0.71,0.29,0.12,0.08,0.05,0.04,0.03,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
1204,71.0,839.15,3.65,4.6,501,1,15,13,3,13,4,13,13,13,12,13,0.84,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0,0,0,0,1,0,0,0,1
384,452.0,839.15,3.73,4.6,30514,1,4,13,13,13,4,4,13,4,12,13,0.57,0.15,0.07,0.05,0.04,0.04,0.02,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
1649,307.0,839.15,4.16,4.6,3342,1,3,3,7,4,13,4,13,13,12,13,0.32,0.21,0.15,0.1,0.07,0.05,0.04,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
1510,224.0,839.15,4.3,4.6,26035,1,10,3,4,13,13,19,13,13,12,13,0.31,0.21,0.14,0.1,0.05,0.05,0.05,0.04,0.03,0.02,,0,1,0,0,0,0,0,0,1
2420,688.0,952.54,4.38,4.6,44011,3078,3,4,3,3,4,13,13,13,12,13,0.77,0.08,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,140761.0,0,1,0,0,0,0,0,0,1
1572,42.0,839.15,4.45,4.6,3453,1,14,13,13,13,6,13,12,13,12,15,0.52,0.11,0.11,0.08,0.04,0.03,0.03,0.03,0.03,0.02,,0,1,0,0,0,0,0,0,1
859,32.0,839.15,3.68,4.6,450,1,14,13,13,13,14,4,13,13,12,13,0.53,0.13,0.09,0.07,0.06,0.04,0.04,0.02,0.01,0.01,,0,1,0,0,0,0,0,0,1
2626,321.0,839.15,3.61,4.6,5130,1,12,13,6,13,11,13,13,6,12,13,0.3,0.29,0.2,0.08,0.05,0.02,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
2376,371.0,839.15,4.06,4.6,78557,1,18,11,18,4,13,13,13,7,12,18,0.26,0.25,0.13,0.13,0.05,0.05,0.05,0.04,0.03,0.02,,0,1,0,0,0,0,0,0,1
2701,368.0,839.15,3.96,4.6,6513,1,11,4,4,13,13,13,13,13,16,13,0.37,0.28,0.1,0.06,0.05,0.05,0.03,0.02,0.02,0.01,,0,0,0,0,1,0,0,0,1
1217,402.0,839.15,3.74,4.6,36226,1,12,9,13,0,13,13,13,13,12,13,0.38,0.2,0.12,0.1,0.05,0.04,0.04,0.04,0.02,0.01,,0,1,0,0,0,0,0,0,1
2181,320.0,453.59,4.64,4.6,25,1,19,13,16,4,13,13,13,13,12,13,0.33,0.22,0.22,0.1,0.04,0.04,0.04,0.03,0.02,0.02,230848.0,0,1,0,0,0,0,0,0,1
567,317.0,4626.64,4.24,4.6,218710,3376,16,13,19,13,15,4,13,13,4,15,0.33,0.18,0.17,0.14,0.05,0.04,0.03,0.02,0.02,0.02,209192.0,0,0,0,0,1,0,0,0,1
1731,352.0,839.15,3.89,4.6,2184,1,4,3,13,13,4,13,13,13,12,4,0.35,0.17,0.14,0.09,0.07,0.06,0.05,0.03,0.02,0.02,,0,1,0,0,0,0,0,0,1
1894,208.0,625.96,3.86,4.6,8651,459,1,5,13,13,4,13,13,13,12,13,0.44,0.36,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.01,,0,1,0,0,0,0,0,0,1
1931,372.0,839.15,4.04,4.6,30817,1,7,3,4,4,4,13,13,13,12,13,0.4,0.18,0.16,0.09,0.05,0.03,0.02,0.02,0.02,0.02,,0,1,0,0,0,0,0,0,1
2538,419.0,839.15,4.21,4.6,610479,1,3,16,19,13,4,13,13,13,3,13,0.45,0.14,0.13,0.07,0.04,0.04,0.04,0.03,0.03,0.02,,0,1,0,0,0,0,1,0,0
1864,478.0,839.15,4.02,4.6,16688,1,16,13,16,13,15,13,13,4,8,13,0.38,0.18,0.13,0.12,0.07,0.04,0.03,0.02,0.02,0.02,,0,0,0,0,1,0,0,0,1
308,384.0,839.15,4.16,4.6,1914,1,16,16,13,4,13,4,13,16,12,13,0.38,0.19,0.12,0.12,0.06,0.05,0.02,0.02,0.02,0.02,,0,0,0,0,1,0,0,0,1
2294,32.0,839.15,4.29,4.6,7928,1,14,13,4,4,13,13,10,13,12,13,0.64,0.16,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.01,,0,1,0,0,0,0,0,0,1
1238,512.0,725.75,4.49,4.6,123,1,3,19,13,16,3,16,15,3,12,13,0.39,0.23,0.12,0.07,0.06,0.05,0.03,0.03,0.03,0.02,198509.0,0,1,0,0,0,0,0,0,1
2358,375.0,839.15,4.41,4.6,4302,1,12,17,6,13,13,13,13,13,12,13,0.36,0.26,0.1,0.06,0.06,0.06,0.04,0.03,0.02,0.01,,0,1,0,0,0,0,0,0,1
